Mes,Posto,Região,Bandeira,GNV,Etanol,Gasolina Comum,Gasolina Aditivada,Diesel s-500,Diesel s-10
01-18,Posto Modelo,Bento Ferreira,Branca,,3.35,3.94,4.17,,3.35
01-18,Posto Thiago,Bento Ferreira,BR,,3.75,4.06,4.26,3.4,3.299
01-18,Posto Beira Mar,Bento Ferreira,Shell,,3.749,3.949,4.129,3.499,3.429
01-18,Posto Moscoso,Centro,Shell,,,3.9,3.9,,
01-18,Posto Ouro Negro,Centro,BR,,3.749,3.959,4.289,,3.499
01-18,Posto Pio XII,Centro,Atlântica,,,3.89,3.89,,
01-18,Arara Azul Rede de Postos,Camburi,Shell,,,,,,
01-18,Auto Posto Presidente,Camburi,BR, ,,4.17,4.27,3.45,3.55
01-18,Posto Mata da Praia,Camburi,Shell,2.39,3.49,4.19,4.39,,3.4
01-18,Posto Aerovix,Camburi,Ipiranga,2.49,3.69,4.29,4.39,,
01-18,Posto Camburi do Gas ,Camburi,BR,2.39,3.75,4.2,4.4,3.4,3.5
01-18,Posto Maruípe,Maruípe,BR,,3.74,3.94,4.14,,3.49
01-18,Posto Eucalipto,Maruípe,BR,,3.94,4.14,,3.49,3.39
01-18,Posto Norte Sul,Maruípe,Ipiranga,,3.7,4.0,4.2,3.37,3.46
01-18,Arara Azul Rede de Postos,Maruípe,Shell,2.3,,4.1,4.1,,3.4
01-18,Posto Enseada,Praia do Canto,Ipiranga,,,4.15,4.15,,3.59
01-18,Posto Iate,Praia do Canto,Shell,,,4.39,4.59,,3.79
01-18,Posto Santo Antônio,Santo Antônio,Ale,,,4.19,,,3.39
01-18,Posto Apolo,São Pedro,Ale,,,4.19,4.29,,3.39
02-18,Posto Modelo,Bento Ferreira,Branca,,3.35,3.94,3.94,3.25,
02-18,Posto Thiago,Bento Ferreira,BR,,3.7,4.06,4.26,3.35,
02-18,Posto Beira Mar,Bento Ferreira,Shell,,3.75,4.12,4.299,,3.429
02-18,Posto Moscoso,Centro,Shell,,,3.83,4.15,,3.46
02-18,Posto Ouro Negro,Centro,BR,,3.749,3.959,4.289,,3.499
02-18,Posto Pio XII,Centro,Atlântica,,,3.83,3.83,,
02-18,Arara Azul Rede de Postos,Camburi,Shell,2.29,3.85,4.06,4.26,,3.4
02-18,Auto Posto Presidente,Camburi,BR, ,,4.0,4.35,3.45,3.55
02-18,Posto Mata da Praia,Camburi,Shell,,,,,,
02-18,Posto Aerovix,Camburi,Ipiranga,,,3.69,4.29,,
02-18,Posto Camburi do Gas ,Camburi,BR,2.39,3.699,3.999,4.199,3.349,3.449
02-18,Posto Maruípe,Maruípe,BR,,4.099,4.159,4.14,3.5,3.8
02-18,Posto Eucalipto,Maruípe,BR,,3.69,3.96,4.16,,3.7
02-18,Posto Norte Sul,Maruípe,Ipiranga,,3.7,4.0,4.25,3.37,3.46
02-18,Arara Azul Rede de Postos,Maruípe,Shell,2.39,3.79,4.19,4.25,,3.39
02-18,Posto Enseada,Praia do Canto,Ipiranga,,,3.99,4.15,3.39,
02-18,Posto Iate,Praia do Canto,Shell,,3.6,4.2,4.25,,3.6
02-18,Posto Santo Antônio,Santo Antônio,Ale,,,4.2,,3.5,
02-18,Posto Apolo,São Pedro,Ale,,,4.2,4.3,,3.5
03-18,Posto Modelo,Bento Ferreira,Branca,,3.46,3.97,3.97,3.25,
03-18,Posto Thiago,Bento Ferreira,BR,,3.65,4.06,4.26,,3.25
03-18,Posto Beira Mar,Bento Ferreira,Shell,,3.659,4.129,4.299,,3.5
03-18,Posto Moscoso,Centro,Shell,,,4.19,4.29,,3.59
03-18,Posto Ouro Negro,Centro,BR,,3.749,3.999,4.259,,3.449
03-18,Posto Pio XII,Centro,Atlântica,,,3.97,3.97,,3.45
03-18,Arara Azul Rede de Postos,Camburi,Shell,2.49,3.69,4.19,4.39,,3.59
